,id,file,year,newspaper,city,TAG,text
1518,46369,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_361__page_11.json,1881,Papel Periodico ilustrado,Cali,IRONÍA,"lhoste, aeronauta, y m.  mangot, astronomo, han hecho hoy una ascension en cherbourg,  en el nuevo globo de m.  lhoste, le torpilleur, provisto de un timon y de un propulsor.  piensan hacer un viaje de dos dias.  el aerostato torpilleur, provisto de un timon patentado y de una helice, y que partio de cherbourg ayer noche a las once, descendio en londres esta manana a las seis.  en la navecilla se hallaban m.  lhoste, aeronauta, y m.  mangot, astronomo.  los navegantes aereos regresaron a cherbourg para tentar en seguida un viaje a noruega.  el viaje aereo que acaba de hacer m.  lhoste, el celebre aeronauta frances, preocupa mas a los ingleses en la actualidad, que las dificultades politicas que va a encontrar el nuevo gabinete salisbury.  el aeronauta habia declarado que podia construir un globo dirigible que le serviria para arrojar torpedos sobre puntos determinados.  en el dia indicado, m.  lhoste y m.  mangot, llevando el uniforme de la marina francesa, partieron de cherbourg en el aerostato torpilleur, en cuya navecilla flotaba el pabellon tricolor."
1521,34593,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF674_El amolador_results/PF674_El amolador__Image0047__page_0.json,1878,El amolador,Bogotá,IRONÍA,"disposiciones legales  el honorablediputado debiera en mi humilde concepto, estudiar antes de venir a este puesto  el honorable  replico, colocandose de un salto, sobre und diputado pertenece, sin duda.  a eso, bando sip conciencia i sip bonor que solo pretende vivir del merodeo i en la bolganza.  d .  principio, me digo, a salir de la dificultad gota el dinero del senor t.  ? si, senor, the aqui dos honorables, veamos su fotografia en las palabras que ban dicho  observemos las cualidades que constituyen la honorabilidad.  el segundo llama al primero honorable, i dos palabras despues ignorante saco mi lapiz i apunto  los hono rables son ignorantes, i compendiando todas sus palabras  los honorables viven del merodeo i en la holganza  los honorables deben estudiar.  estas palabras, en boca de una persona culta, jamas pueden ser bien vistas ni de otro modo calificadas, que de insultos, i sinembargo, a quien las ba proracion, por su orijen i destino augusto, honorable.  apunto, a renglon seguido  para ello."
1522,39559,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF746_El duende_Panama_results/PF746_El duende_Panama__20230923_154352__page_0.json,1898,PF746_El duende_Panama,Panamá,NEUTRO,"nuestros hombres triunfos y recibio fuertes reve ses, acompanado estos ultimos de todo genero de sufrimientos, buenaventura correoso los que supo sobrellevar co entereza y dignidad todo lo cual le valio para adquirir la tiene mas paginas para ti la hstoria.  mayor altura de la carrera mili.  nacio en esta ciudad el 14 de tar, que asignaban nuestras ins julio de 1831.  hizo sus estutituciones y principios, a los dios en la primera escuela norsoldados leales y valientesmal establecida aqui, bajo la di como correoso, en aquellos reccion del doctor nicolas petiempos en que los ascensos se reira gamboa.  en 1846 fue concedian como premio al me nombrado director de las escue rito.  las de anton, capira y , nata, tambien nos represento, con debido a sus conocimientos y lucimiento y honradez, como aptitudes y en 1852 le distin ministro ante los gobiernos de guieron sus conciudadanos por las republicas de centro ame sus meritos sociales y politicos, rica y ahora que son dias, por junto con el, perecio tambien con el nombramiento de miemdesgracia para colombia, de su inteligente hijo, el joven jose bro de la municipalidad de pa confusion de ideas y de naufra ."
1524,81678,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD806_El centenario_results/PD806_El centenario__Grabados de portada__page_32.json,1898,El centenario,Rionegro,NEGATIVO,"venir.  bienestar e independencia para el por no nos cansaremos de decirlo el numero de vagos de rionegro es superior en mucho a la poblacion, pues relativamente son mas que los de cualquier otro lugar de igual numero de habitantes y ca preciso que las autoridades se preocupen de extirpar este cancer social que es de funestos resultados.  a aliviar algo la suerte de las mujeres pobres viene lo que hoy propone el sr.  obregon.  lo felicitamos muy sinceramente.  siendo la vagancia costumbre inveterada en una gran parte del sexo masculino de esta pobre tierra, y no siendonos dado corregirlo por mucha que lo deseamos, fuerza sera buscar lo que nos hace falta por otro lado.  al efecto el que suscribe.  1.  o que llegan ciertas epocas del ano en que loss astres no pueden dar cumplimiento a suscompromisos por falta de obreros 2.  o que los trabajos a que se dedican las mujecesitando hacer costuras de sastre tales como ves4 o que este bien que pretende hacer a los duenos de sastrerfas redundara en provecho para todos, ha resuelto abrir una clase de costura, grala hora de la clase, y in casa donde se ha de dietar que sera la de una de las disefpulas 1 ."
1527,112163,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD645_Los locos_results/PD645_Los locos__16__page_0.json,1868,Los locos,Bogotá,NEGATIVO,"el padre bush.  s ha un sacerdote escoces, llamado juan bush, es uno de los eclesiasticos mas escentricos del reinounido.  he aqui un rasgo que da una idea aproximada de su especial caracterani 230 entre los fieles que asistian a oir sus sermones se encontraba uno, de nombre macdonald, que tenia la costumbre! de salir del templo antes de que el clerigo bajase del pulpito.  indignado el sacerdote, le dijo un dia que su conducta era escandalosa, i que dios iba a castigarle por su poca relijion.  macdonald respondio entonces que la obligacion era primero que nada, i que le llamaban perentorias ocupaciones a su ! casa.  el clerigo lo siguio un dia i vio con asombro que el buen escoces entraba en una de las tabernas mas frecuentadas del pueblo.  empieza el sermon el domingo siguiente, i macdonald, antes de concluido, se disponia a salir, cuando una voz estentorea le grito desde el pulpito  hermano macdonald, no teneis necesidad de , salir de la iglesia, porque esta manana he estado en la tabernai le he dicho al mozo que conserve el ponche bien caliente hasta que se acabe el sermon ."
1528,2093,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD751_El zancudo_results/PD751_El zancudo__5__page_3.json,1890,El zancudo,Santafé de Bogotá,NEGATIVO,"cuentannos que el senor nunez no permite a sus paso les recuerda su papel de comparsas, y se accirespirar.  nos recuerda nuestro hombre providencial  luis xiv nino, que invito en una ocasion a jugar con ela un joven de la aristocracia, compaffero suyo, haciendo este de rey, y al verlo cubierto en su pregencin se accidento de tal manera, que hubo necesidad de llamar volando al medico para que el luisito no muriera de la impresion que le cause semejante desacato.  asi es en todo.  hace ya algunos dias vimos en un periodico la noticia de que la junta de higiene habin dispuesto que se proveyera de agua del acueducto al vecindario de belen, donde tanto se ufre con ese motivo, pues aunque hay banos muy buenos, el publico carece de agua limpia ordinariamente.  los vecinos estaban de placemes con la tal noticia, y por anuchos dias los chinos vendian por esas calles el periodico que la contenin y que por ser ministerial debe ser veridico.  pero hasta ahi llega la cosa  el agua no se ha puesto y la junta de higiene y los vecinos se han quedado con un palino de narices."
1529,104986,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__10__page_15.json,1889,Colombia ilustrada,Bogotá,NEUTRO,"nal, para seguir en 1889 a ventilar asuntos propios en paris luego paso a mexico para complementar en las regiones mineras de ese prospero pais sus favoritas investigaciones en este importante ramo y que pronto le veremos aplicar con exito en colombia.  el doctor roberto sarmiento, conocido periodista y legislador, que estuvo desempenando la secretaria de la legacion de colombia en caracas, en cuyo puesto quedo el aventajado poeta d.  jose angel porras.  d.  manuel maria paz, antiguo miembro de la comision corografica, bajo la direccion del general codazzi, y que unido a d.  manuel ponce de leon levanto, por orden del general mosquera, la carta general y de cada uno de los extinguidos estados unidos de colombia.  el senor paz recibio de nuestro gobierno el delicado encargo de dirigir la impresion en paris de nuevos y mas correctos mapas de la tierra colombiana, cuyo improbo trabajo ha desempenado satisfactoriamente, prestando asi un valioso servicio al pais natal.  ferrocarril de la sabana ."
1530,287,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF233_La camarilla_results/PF233_La camarilla__48__page_0.json,1877,La camarilla,Bogotá,NEGATIVO,"convencidos ya de la rectitud del futuro culo que presenta la juventud, tomando la for batur amansalva al pueblo sus derechos i el fruto presidente, conspiran a todas horas.  al deci que conspiran  eilo a nadie se 2 haciendo el gobierno, de los mejores elementos de guerra depositados en el parque tar con mi pequeno continjente.  hai quien se haya encontrado, en el cami conceptos con que me favorecen, i me repito su dalaje judicial.  si esto no es asi, que se nos diga, ¿ donde esta el lucido armamento que debia reposar sonores redactores de  la camarilla.  en los parques ! ¡ de donde ha sacado cundinamarca el gran parque con que cuenta hoi ? a nadie se oculta ya  en vista de todas apoye para defender los fueros de la libertad i labor, i estando identificado en principios con hu rando para la guerra. ¿ que debe hacer, pues, el partido liberal? estar preparado para toda sorpresa, seguir los traidores estan de pie nada respees preciso que no olvidemos el 23 de za . de su ser derechos que la pandilla oficial han fundado el periodico titulado la camarilla, mayo, i que estemos preparados para hacer no quiere reconocer a los que no forman en sus con el objeto de salir a la defensa de la institufrente a los bandidos que se ajitan por todo filas."
1532,69412,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_303__page_2.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"mo y la virtud de viejos patricios habian de nacer piedad, luz y abnegacion.  don jose vicente ortega firma el acta de independencia del 20 de julio, y es el esposo de dona benita narino, hermana del grande hombre, del revolucionario heroico, del martir de ceuta y cartagena y la carraca, del sublime prisionero de pasto, del filosofo moribundo de villadeleiva y de los nueve hijos que recibieron bautismo de dios y de la patria, de aquella ilustre prosapia, jose maria fue despues el heroe juvenil de valencia el general ortega, el guerrero piadoso y espiritual  dona francisca fue la esposa de un bayardo humilde  del intrepido, incorruptible general velez mariano fue leal soldado de la independencia, y habilisimo relojero  dona cecilia caso con don ramon lago, y dona carmen con don lorenzo ley, ambos veteranos de la patria  y dona cruz tuvo por esposo al coronel don pedro rivera de carrasquilla, el cual sento plaza de soldado el 20 de julio de 1810, fue de los vencedores benemeritos, sucumbio en cartagena, victima del colera, en 1849, sirviendo como jefe de estado mayor de la division del atlantico, y dejo a su viuda y su hijo por toda herencia ."
1533,67997,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_312__page_4.json,1881,Papel Periodico ilustrado,Cali,NEGATIVO,"el ano de 1814, en que el congreso resolvio el envio de una expedicion a cartagena, el senor castillo, que ejercia la presidencia, le nombro jefe de ella  pero habiendo llegado el libertador, el congreso le confio el mando de la expedicion al acercarse el ejercito pacificador, baraya fue nombrado jefe del ejercito de reserva, mas no habiendose podido organizar aquel, baraya se dirigio al sur, y cuando en 1816 entro morillo a santafe, acababa de ser cogido prisionero a inmediaciones de neiva.  conducido a santafe, siguieronle el juicio sumario y fue condenado a muerte.  fue sacrificado el 20 de julio.  a los seis anos de haber formado su compania en la plaza principal para dar garantias al pueblo, le toco oir no ya las voces del pueblo que le aclamara entusiasmado miembro del cabildo abierto, sino el acompasado y monotono paso del peloton que iba a abrirle las puertas de la eternidad.   asi espiro tambien de honor cubierto entre victimas mil baraya, a manos de tus viles satelites, morillo  ni el duro fallo a mitigar fue parte de la misera hermana el desamparo, que lutos arrastrando, acompanada de cien matronas, tu clemencia implora."
1534,20923,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD168_El oso_results/PD168_El oso__3__page_65.json,1845,El oso,"Lima, Perú",NEGATIVO,"el papa p.  con las orejas tiradas 195 para atras.  permitid incomparables brutos, permitidme dos palabras dijo el zorro y tomo la tribuna.   tiempos ha, que no ocupo este pulpito, porque vuestras discusiones y debates, son tan esplendidos, tan sabios y tan estraordinarios, que las mas veces aunque quiero decir, no hallo que.  el uno se presenta ufano, el otro melifluo, aquel lleno de sitas, este abundante en testos.  aqui encuentro la presision, alli la mas estricta lojica alla tanta retorica y aca tanta fluidez  y en medio de tan admirable choque de talentos, de dialectos, de lenguaje y de tanta destreza y espedicion ¿ que puedo yo, que tengo que anadir ni que decir? en este momento mismo quisiera que me tocarais la punta de la cola, esta tan tremula como todo yo.  a no haber hallado tanto patriotismo en el zapo y tanta enteresa en el oso, jamas me habria animado ni siquiera a suspirar.  pero o como acostumbran decir los cultos empero ilustres camaradas, todo se puede conciliar, no cho que dida a la felicidad de que no era digno, pues no me sentia con fuerzas para cogerla del arbol de la vida lagrimas de dolor, porque perdida aquella ocasion de ver a jenny, acaso jamas volveria a presentar."
1535,21817,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF712_El entremes_results/PF712_El entremes__20230923_120309__page_0.json,1895,El entremes,Panamá,NEUTRO,"muy bien, la palabra del goberexigir mucho a nuestro paternal go.  nador esta empenada.  ¡ a hacerse inabierno.  cribir ciudadanos! a practicar la ver.  dadera republica ahora que hay gabien.  va otro, pucho de derechos rantias! de sufragio libre, debidamente a monllega el tiempo, y tres individuos garantizadores seguraments, se ernido rado, protegido, y eficazmente discergerran a confeccionar las listas.  uno un grupo de esos ciudadanos en tra al salon en doude estan reunidos de ellos, a lo menos debe ser hombre los consabidos jurados.  un individuo de averia, porque asi debe garantizarse el derecho de sufragio son tres  se adelanta, sombrero en mano, obispos en tiempo de confirmacion, barba biendo relumbrosa calva y exim que toman los nombres de los ciudanivea danos que son aptos para votar y senor presidente respetuosa.  mente reclamo para que se me inseriba que despues de todo, debe resultar en las listas de electoresque el que se llamaba juan ahora debe quedar en las listas pedro .  y si, senor pero usted debe comquien se apellidaba luna."
1536,22718,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD435_Reporter ilustrado_results/PD435_Reporter ilustrado__p17054coll26_206__page_9.json,1890,Reporter ilustrado,Bogotá,NEGATIVO,"fertiliza el rionegro, como punto de descanso, el trafico entre la capital del virreinato y la costa, se hizo trajinando la nueva via, menos dificil que la del norte, con recuas de mulas, las que salvaron en parte a los desgraciados indigenas de servir de acemilas.  esta via hizo a facatativa obligado punto de transito y le dio importancia comercial luego el lento pero continuo progreso del pais el haberse poblado la vera del camino la fundacion de la ciudad de guaduas, en 1614 y el ser lugar de cambio de los frutos de tierra fria con los de las zonas calidas, aumentaron su importancia como centro comercial.  por un raro fenomeno durante la larga vida colonial y los cincuenta primeros anos de la independiente, el poblado no mejoro en lo material componiase de casas de humilde y mezquino aspecto, cubiertas de paja, que no tenian ninguna comodidad interior entre las cuales se levantaba, como el edificio principal, una capilla de tapia y teja, sin merito alguno arquitectonico, la misma en que predico el evangelio a los chibchas, en los tiem pos de la conquista, el misionero dominicano fray juan mendez."
1538,20791,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD168_El oso_results/PD168_El oso__2__page_21.json,1845,El oso,"Lima, Perú",NEUTRO,"cedera.  he dicho.  y abandono la tribuna.  el ruido de la campanilla presidencial restablecio el orden , y en estas circunstancias se aparecieron en medio de la asamblea una langosta perfectamente transformada en un brillante jefe de caballeria, un pato y un mono armados tambien de militares.  la langosta aseguro por medio de un corto y elocuente discurso , que tenia a su mando un cuerpo de milicias, y que lo sometia a las inmediatas ordenes del colejio soberano, por cuyo s stenimiento estaban decididos a derramar la ul.  tima gota de su sangre.  esto no dejo de vigorizar los animos de los aislados y soberanos delegados tanto, que leido que fue el punto en cuestion y dicho el senor presidente  los senores que no tengan por suficientemente discutida la materia que nos ocupa, tengan la bondad de ponerse en pie.  nadie se movio.  con lo cual se declaro del todo discutido el asunto.  en seguida volvio a decir el presidente.  los senores que esten por la no obediencia ciega del soldado, tengan la bondad de ponerse en pie."
1539,99596,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__13__page_2.json,1889,Colombia ilustrada,Bogotá,NEUTRO,"bre, y que, sin auxilio de lo alto, posponemos casi siempre el criador a la criatura.  el cristianismo nos trajo del cielo la fe para conocer a dios, y la gracia para amarlo dignamente.  mas, a los principios de la vida espiritual, la nocion que alcanzamos de lo sobrenatural es discursiva y en extremo imperfecta  y nuestro amor puramente estimativo no es poderoso a vencer los apetitos de la parte animal sin la renida pugna con ellos que hace de nuestra existencia terrena una continuada milicia, segun la expresion de la escritura.  1 cuando la fe del cristiano es viva, cuando gracias eficaces de lo alto lo inclinan a elegir el bien, principia a penetrarse de lo hermoso de la virtud, lo feo del vicio  lo cierto de las verdades reveladas, lo deforme de la incredulidad la grandeza del cielo comparada con la ruindad de la vida presente  y entonces mueve el senor la voluntad, pero no como empuja el capataz al esclavo aherrojado, sino como sostiene y conduce la madre al nino que pretende caminar y a quien se lo veda la debilidad de la infancia."
1540,15186,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF730_Mefistofeles_results/PF730_Mefistofeles__20230917_112837__page_0.json,1897,PF730_Mefistofeles,Bogotá,IRONÍA,"director, hair alfredo a.  borda belisario cortes ¿ velez o reyes ? pais invadido por el personalismo, hay tieno a la lucha eleccionaria empequienes confundan este con la doctrina ideal, que podemos sen alar en este caso ¡entre las fracciones del conservao ideal politico a que aspiramos, y esto concreto la pas de colombia y la ha estado el partido liberal, porha sucedido porque tanto la escuela lihonradez en el gobierno.  como siempre que han dominado beral como la conservadora, han visto adversarios, le ha tocado el papel eclipsar a sus maestros que fueron los la mero espectador, por no tener voto verdaderos representantes de las dos quien era el gato hacer valer en sus decisiones.  escuelas politicas.  no por esto dejamos los miembros la guerra nos engendro este mal del figuraos una fragante azucena, y tendreis liberalismo de tener simpatias mas cual no nos podremos libertar sino con una idea de la fresca y lozana muchacha que voy a presentaros.  148 menos marcadas, mas o menos apala paz, formando en la escuela de la adas por uno de los contendores."
1541,91458,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1891__page_27.json,1869,El diario de Cundinamarca,Bogotá,NEUTRO,"despues de las primordi ascenciones de, dalpenetrado en las capas olovadando lo atindefere, tropando a las altas cuspides de las montalng pero han alcanzado el crito de su empresa 4 costa de las mas rodas fatigas.  la mayor altitud  quo los hombres han llegado basta el dis, ron los tres hermanos bavaroe boblagintweit, on las montanas del taibet.  el 19 de agosto do 1866, estos valiontes viajoros han llegado en los chinos.  javier de maistre.  anteriormento, en 1812, moororoft habia stravozada el himalaya para llegar al lago do  fre 2 ch 1819, y acompanado de trebeck, emproplos globos aerostaticos ponen en manos del sabido es quo pilatro de rozier, al primero primer martir do la cerostnoion .  referimos la bistoria de esto fanesto aconciones del mismo, quo co ban publicado  la del . doctor j.  b.  bertrand.   ir hacia pocos auce que los hermanos montgolfel estrecho de calais  ol desco de adquirir glofrancou.  romain, colebre constructor de globos en aquella epoca so unio a rozior y se comprome, poco mas ."
1542,99589,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__13__page_2.json,1889,Colombia ilustrada,Bogotá,NEUTRO,"bre, y que, sin auxilio de lo alto, posponemos casi siempre el criador a la criatura.  el cristianismo nos trajo del cielo la fe para conocer a dios, y la gracia para amarlo dignamente.  mas, a los principios de la vida espiritual, la nocion que alcanzamos de lo sobrenatural es discursiva y en extremo imperfecta  y nuestro amor puramente estimativo no es poderoso a vencer los apetitos de la parte animal sin la renida pugna con ellos que hace de nuestra existencia terrena una continuada milicia, segun la expresion de la escritura.  1 cuando la fe del cristiano es viva, cuando gracias eficaces de lo alto lo inclinan a elegir el bien, principia a penetrarse de lo hermoso de la virtud, lo feo del vicio  lo cierto de las verdades reveladas, lo deforme de la incredulidad la grandeza del cielo comparada con la ruindad de la vida presente  y entonces mueve el senor la voluntad, pero no como empuja el capataz al esclavo aherrojado, sino como sostiene y conduce la madre al nino que pretende caminar y a quien se lo veda la debilidad de la infancia."
1543,98822,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF422_El pisisi_results/PF422_El pisisi__15__page_0.json,1897,El pisisi,Cartagena,NEGATIVO,"gumersindo ombe compne.  si a mi merijeron que cuando loj su negocio, ora disfrazado en forma de pero pidale informes al juez superior, enran eruj candidatoj que juera pa bo contratos, o ya eu forma de monopo al agente postal 6 al secretario del tarlos, que i que me iban a paga sin lios.  si tienen todavia un poquito de gobernador de cartago en la costa co realej ! onbe, lo que yo no se ej verguenza quiten esa estatua del bo septentrional del africa.  que si ej qui hay que botarloj yo no hvar que trato de darles libertad para se aonde sera quien sabe si sera en el que a su sombra vivan en las angusmuladar de ajuera re santo romingo, tias de un regimen en la esencia mo6 a onde! importantisimo.  directorio central de operaciones eleccionarias del departamento.  sincelejo, diciembre 4 de 1897.  a las 4 de la tarde.  comite servilista .  cartagena, no so han publicado listas candidatos para electores y suplentes porque estamos en apuros, no encontramos noticias triunfo nacionalismo en toda ter para cumplir fielmente su consigsuficientes incondicionalistas y ade esa respublica."
1544,32971,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_ene_1888__page_0.json,1888,El taller,Bogotá,NEUTRO,"una mujer literata, que la compania lel senor torres represento a contenamiento de las personas que concufrieron.  posteriormente se puso en escena la comedia los disfraces, nueva para nuestro publico, representada  mentos despues el salon del doctor con propiedad por la misma compadia, y on la cual la senorita micaelina beltran presento cinco tipos de dificil caracter, bien sostenidos, lo cual le ha dado reputacion de actriz.  sepase por las companias de drama  era el pueblo trabajador calumnia ! y de zarzuela que estan actualmente en  los obreros saben dejar sus huesos en las costas de colombia, que hay un teatro en la capital en donde pueden  convicciones, pero no insultar por rastrabajar, con poco gasto, y que puede  treras pasiones.  no hay que confundir contener mil doscientos espectadores, y susceptible de ensancharse, en caso necesario.  en dicho local se puede traje los asimile.  los obreros desean presentar toda clase de espectaculos, la paz a todo trance, porque ella sigmientras se concluyen los dos teatros  nifica trabajo continuo y pan abunque hay en construccion, de los cuales el primero saldra costando trescientos mil fuertes, y el otro cuarenta y cinco mil."
1545,29229,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_mar_1889__page_6.json,1888,El taller,Bogotá,NEUTRO,"el gramo es el peso en el vacio de un centimetro cubico de agua destilada en ou maasmun de densidad, es decir, a 40 cen.  tigrados sobre cero.  expliquemos la definicion  para fijar la unidad de peso era preciso adoptar el de un volumen determinado de una sustancia que en cual quier parte puel volumen que se adopto fue el centimetro cubico.  un centimetro es como sabemos la centesima parte de un metro.  y un centimetro cubico es un pequeno cubo de un centimetro por lado es como un dado de jugar que tuviera por lado un centimetro.  en cuanto a la sustancia que en cualquier parte pudiese facilmente encontrarse ninguna que presentase mas ventajas que el agua, y esa fue por eso la adoptada.  mas como el agua en la naturaleza dificilmente se encuentra pura, y como por otra parte su peso varia segun las sustancias que tiene en disolucion, fue preciso adoptar el agua quimica.  mente pura, que es el agua cuidadosamente pero aun no es esto bastante, por que en regla general los cuerpos se dilatan con el calor y se contraen con el frio."
1546,62577,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_409__page_10.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"esto pasaba a fines del ano de 1632, y las molestias y disturbios no cesaron sino con la muerte del arzobispo en el entrante ano y con la residencia del presidente  pero la obra se hizo.  asi permanecio, con pequenas variaciones, hasta 1842, en que el gobierno de la provincia le mejoro y amplio, pues no comprendia sino desde la esquina de la catedral hasta la puerta de la capilla del sagrario, e hizo esculpir en una losa, que todavia puede verse en las gradas del lado sur, una inscripcion conmemorativa.  posteriormente, en la administracion otalora, se mando hacer de nuevo, y se fijaron en lapidas de marmol, en los dos costados de la puerta de la capilla, estas inscripciones  en el derecho, en 1842 de orden del gobernador alfonso acevedo tejada.  y del lado izquierdo esta  este atrio fue enlosado de nuevo bajo la administracion del senor doctor jose e.  otalora siendo secretario de fomento el doctor manuel laza grau.  1883.  iv conociendo el senor acevedo la necesidad que habia de paseos publicos propios para la poblacion de una capital, se esforzo en mejorar el conocido con el nombre de  laalameda."
1547,114558,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD722_Las noticias_results/PD722_Las noticias__p17054coll26_13369__page_3.json,1884,Las noticias,Bogotá,NEGATIVO,"ilan  pero bien se esta el on roma y yo en la asunciondecia don gaspar fahasta 1820, francia ofa misa los do mingos y dia de obligatorio precepto el comandante de una nueva fortaleza le pidio permiso para poner esta bajo la advocacion de un santoidiota !a los pocos europeos que llegaban la asuncion solia decirles  haced aqui lo que gusteis, profesad la religion que os acomode, nadie os inquietara pero estad prevenidos que os va el pellejo si efectivamente, envio a la eternidad no pocos de esos aventureros que se meten a patriotas en patria ajena.  solo para esto querria yo un francia en e peru, harto como estoy de ver a gente de extrangis tomar cartas y doblar baza en juego en que debieran hacer, a lo un hereje quiere ser mas papista que el papa .  no esta en mi mano . ¡ vamos !.  me carga, se me estomaga y me como los cuakeros, el doctor francia daba a todos el tratamiento de tu pero ¡ desgraciado de aquel que, por distrae cion, dejase de decirle excelentisimo por fin, para dar una idea del terroifico respeto que inspiro a su pueblo, bastenos copiar las palabras que dirigio un dia a un centinela que habia tole rado a una mujer que mirase, por una ventana, los muebles de una de las habitaciones de palacio ."
1548,73757,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_330__page_4.json,1881,Papel Periodico ilustrado,Cali,IRONÍA,"que la sobria agricultura se habia contentado mas aquellas que por sus efectos maravillosos se apropiaron los sacerdotes paganos para aturdir la razon  las que reunian en los bosques sagrados a la sombra terrible de sus misterios y supersticion, sin confiar el secreto sino a discipulos escogidos, despues de largas, duras y aun mortales pruebas, de que no dispenso a pitagoras la celebridad de su nombre y la recomendacion de un soberano  digo que el conocimiento de aquellas plantas conque se hacian tan raras curaciones y portentos se perdio por falta de botanica que la conservara.  he aqui un trozo colmado de observaciones filosoficas e historicas, expuesto en fluida y elegante forma.  la difusion, palpable en la elocuencia de zea, es quiza una condicion comun al estilo de muchos literatos naturalistas  plinio, buffon y bernardino de saintpierre testifican este hecho, el cual es, por otra parte, muy explicable, pues siendo esencialmente analitico el estudio de la naturaleza, tiene que derramarse en pormenores y accidentes."
1549,90572,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1893__page_10.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"cuba, y acaba con un serio conflicto parla los principios que sustenta nuestro partido, dabias estar aprobado porque el le debian unico, positivo y eucas para redimirla de tomentario promovido imprudentemente por garantin de los inforcaes logitimes y peruna.  efectuarse, los elecciones municipales.  bas das las injusticias a que la necesidad de ubi el gobierno por babered empofiado on dero.  nentes del pafo.  gar, por medios casi dictatoriales, los efectos de una ley estando abiertas y funcionando baste decir que en el partido autonomista  nea incidentales, impidioson durante tres dias las cortos.  distrafdos on las onestiouca inte, oubano militan jos liberalea mas influyentes que se cipesara a discutir y de no ser esto ricrea relativas a la aprobacion de las actas del pate y muchos quo en la guerra de 1868 posible, votar la ley, para que los propositos de eleccion de los diputados, sorprendionos, sl 70 neaudillaron fuerzas separatistas.  los del gobierno quedasen burlodos eu ensuto el dis 28 del praximo posado mes, la noticia representantes que esto partido tione en el si mencionado aplazamiento."
1551,37187,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD303_Mochuelo_results/PD303_Mochuelo__p17054coll26_12036__page_7.json,1877,Mochuelo,Bogotá,POSITIVO,"jul eminente publicista, doctor jose maria samper, se encuentra entre nosotros desde el 21 de los corrientes.  en los momentos solemnes para la patria, supo el senor samper colo arse a la altura de su gran corazon.  vio atacados el derecho y la libertad y busco su puesto entre sus defensores.  salio de esta ciudad precisamente en la misma noche en que el gobierno celebraba el triunfo de los chancos, y se incorporo a la guerrilla del mochuelo, cuando se tuvieron con toda seguridad los pormenores de aquel desastre, conside ado desde entonces como decisivo en la guerra.  el senor samper fue recibido con los brazos abiertos por el partido conservador, y al punto se encontro identificado en sentimientos y en ideas con sus camaradas.  su alma grande y virtuosa hallose en su centro  nada tuvo que modificar porque todo lo que constituye al republicano amigo de la libertad en el orden, lo habia en sus companeros.  sufrio con abnegado patriotismo las penalidades de la campana, y concluida la del norte, con el desastre de mutiscua, paso a buscar asilo en la republica de venezuela."
